[2025-06-23 21:35:21.411] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":63}
[2025-06-23 21:35:21.416] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2025-06-23 21:35:21.416] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2025-06-23 21:35:21.427] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":65}
[2025-06-23 21:35:21.427] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":65}
[2025-06-23 21:35:21.433] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":66}
[2025-06-23 21:35:21.433] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":66}
[2025-06-23 21:35:21.437] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":67}
[2025-06-23 21:35:21.437] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":67}
[2025-06-23 21:35:21.456] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2025-06-23 21:35:21.456] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2025-06-23 21:35:21.476] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":69}
[2025-06-23 21:35:21.476] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":69}
[2025-06-23 21:35:21.499] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":70}
[2025-06-23 21:35:21.499] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":70}
[2025-06-23 21:35:21.510] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":71}
[2025-06-23 21:35:21.511] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":71}
[2025-06-23 21:35:21.516] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":72}
[2025-06-23 21:35:21.516] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":72}
[2025-06-23 21:35:21.519] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":73}
[2025-06-23 21:35:21.520] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":73}
[2025-06-23 21:35:21.524] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":74}
[2025-06-23 21:35:21.524] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":74}
[2025-06-23 21:35:21.535] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":75}
[2025-06-23 21:35:21.535] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":75}
[2025-06-23 21:35:21.538] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":76}
[2025-06-23 21:35:21.538] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":76}
